t,yt
0,0.0
1,0.0
2,1.0
3,19.0
4,19.0
5,29.0
6,29.0
7,29.0
8,34.0
9,34.0
10,34.0
11,34.0
12,34.0
13,2918.0
14,4292.0
15,4318.0
16,4318.0
17,4318.0
18,4333.0
19,4334.0
20,4334.0
21,4334.0
22,4334.0
23,4335.0
24,4336.0
25,4339.0
26,4339.0
27,4340.0
28,4343.0
29,4344.0
30,4344.0
31,4345.0
32,4346.0
33,4346.0
34,4346.0
35,4352.0
36,4367.0
37,4373.0
38,4373.0
39,7080.0
40,7292.0
41,7292.0
42,7292.0
43,7292.0
44,7292.0
45,7292.0
46,7292.0
47,7292.0
48,7304.0
49,8552.0
50,8552.0
51,8552.0
52,8552.0
53,8557.0
54,8557.0
55,8559.0
56,8559.0
57,8559.0
58,8559.0
59,8560.0
60,8560.0
61,8564.0
62,8564.0
63,8569.0
64,8574.0
65,8574.0
66,8574.0
67,8574.0
68,8574.0
69,8574.0
70,8574.0
71,8574.0
72,8574.0
73,8575.0
74,8575.0
75,8576.0
76,8577.0
77,8581.0
78,8600.0
79,8605.0
80,8607.0
81,8613.0
82,8613.0
83,8617.0
84,8621.0
85,8621.0
86,8621.0
87,8631.0
88,8631.0
89,8631.0
90,8631.0
91,8631.0
92,8635.0
93,8636.0
94,8717.0
95,9989.0
96,13615.0
97,15082.0
98,15085.0
99,15085.0
100,15085.0
101,15085.0
102,15095.0
103,15095.0
104,15095.0
105,15095.0
106,15095.0
107,15095.0
108,15096.0
109,15101.0
110,15101.0
111,15102.0
112,15102.0
113,15103.0
114,15103.0
115,15103.0
116,15103.0
117,15103.0
118,15103.0
119,15113.0
120,15113.0
121,15113.0
122,15113.0
123,15113.0
124,15113.0
125,15113.0
126,16438.0
127,16438.0
128,16438.0
129,16438.0
130,16438.0
131,16438.0
132,16443.0
133,17246.0
134,17517.0
135,17517.0
136,17629.0
137,17629.0
138,17629.0
139,17631.0
140,17631.0
141,17631.0
142,17632.0
143,17633.0
144,17642.0
145,17643.0
146,17643.0
147,17643.0
148,17648.0
149,17648.0
150,17648.0
151,17648.0
152,17648.0
153,17650.0
154,17651.0
155,17651.0
156,17651.0
157,17652.0
158,17664.0
159,17664.0
160,17664.0
161,17664.0
162,17673.0
163,17689.0
164,17691.0
165,17697.0
166,17697.0
167,17699.0
168,17700.0
169,17700.0
170,17700.0
171,17700.0
172,17700.0
173,17700.0
174,17700.0
175,17700.0
176,17700.0
177,17701.0
178,19848.0
179,19852.0
180,19862.0
181,19896.0
182,20351.0
183,22011.0
184,22011.0
185,24162.0
186,24162.0
187,24162.0
188,24164.0
189,24164.0
190,24164.0
191,26310.0
192,26310.0
193,26311.0
194,26312.0
195,26312.0
196,26312.0
197,26312.0
198,26312.0
199,26312.0
200,26312.0
201,26312.0
202,26313.0
203,26313.0
204,26313.0
205,26313.0
206,26313.0
207,26313.0
208,26313.0
209,26313.0
210,26313.0
211,26313.0
212,26313.0
213,26313.0
214,26313.0
215,26313.0
216,26313.0
217,26313.0
218,26313.0
219,26313.0
220,26313.0
221,26313.0
222,26314.0
223,26314.0
224,26315.0
225,26315.0
226,26315.0
227,26315.0
228,26315.0
229,26315.0
230,26315.0
231,26315.0
232,26315.0
233,26317.0
234,26317.0
235,26317.0
236,26317.0
237,26317.0
238,26318.0
239,26318.0
240,26318.0
241,26318.0
242,26318.0
243,26318.0
244,26319.0
245,26320.0
246,26320.0
247,26320.0
248,26320.0
249,30604.0
250,30604.0
251,30604.0
252,30604.0
253,30604.0
254,30604.0
255,30605.0
256,30605.0
257,30607.0
258,30607.0
259,30609.0
260,30610.0
261,30611.0
262,30612.0
263,30612.0
264,30612.0
265,30612.0
266,30612.0
267,30612.0
268,30612.0
269,30613.0
270,30613.0
271,30613.0
272,30614.0
273,30614.0
274,30614.0
275,30614.0
276,30614.0
277,30614.0
278,30614.0
279,30614.0
280,30614.0
281,30614.0
282,30616.0
283,30616.0
284,30617.0
285,30617.0
286,30617.0
287,30617.0
288,30617.0
289,30617.0
290,30617.0
291,30617.0
292,30617.0
293,35081.0
294,35081.0
295,35081.0
296,35081.0
297,35081.0
298,35081.0
299,35081.0
300,35081.0
301,35081.0
302,35081.0
303,35081.0
304,35081.0
305,35081.0
306,35081.0
307,35081.0
308,35081.0
309,35081.0
310,35081.0
311,35081.0
312,35081.0
313,35081.0
314,35081.0
315,35081.0
316,35081.0
317,35081.0
318,35081.0
319,35081.0
320,35081.0
321,35081.0
322,35082.0
323,35082.0
324,35082.0
325,35082.0
326,35082.0
327,35082.0
328,35082.0
329,36534.0
330,36539.0
331,36549.0
332,36550.0
333,36550.0
334,36552.0
335,36552.0
336,36552.0
337,36552.0
338,36552.0
339,36552.0
340,36552.0
341,36552.0
342,36553.0
343,36554.0
344,36554.0
345,36554.0
346,36554.0
347,36554.0
348,36554.0
349,36554.0
350,36554.0
351,36554.0
352,36554.0
353,36554.0
354,36554.0
355,36554.0
356,36554.0
357,36554.0
358,36554.0
359,36554.0
360,36567.0
361,36790.0
362,37720.0
363,37732.0
364,38978.0
365,38979.0
366,38981.0
367,38981.0
368,38981.0
369,38984.0
370,38987.0
371,38988.0
372,38989.0
373,38990.0
374,38990.0
375,38990.0
376,38992.0
377,38998.0
378,39000.0
379,39000.0
380,39000.0
381,39003.0
382,39006.0
383,39007.0
384,39009.0
385,39011.0
386,39011.0
387,39011.0
388,39011.0
389,39012.0
390,39012.0
391,39012.0
392,39012.0
393,39012.0
394,39013.0
395,39013.0
396,39013.0
397,39013.0
398,39013.0
399,39013.0
400,39013.0
401,39013.0
402,39013.0
403,39013.0
404,39013.0
405,39013.0
406,39013.0
407,39013.0
408,39013.0
409,39013.0
410,39013.0
411,39013.0
412,39014.0
413,39017.0
414,39021.0
415,39022.0
416,39023.0
417,39026.0
418,39030.0
419,39039.0
420,39043.0
421,39050.0
422,39058.0
423,39397.0
424,39992.0
425,40206.0
426,40221.0
427,40248.0
428,40271.0
429,40311.0
430,40370.0
431,40385.0
432,40398.0
433,40405.0
434,40413.0
435,40493.0
436,40745.0
437,41774.0
438,43936.0
439,44315.0
440,44316.0
441,44318.0
442,44321.0
443,44322.0
444,44322.0
445,44326.0
446,44330.0
447,44331.0
448,44332.0
449,44332.0
450,44332.0
451,44334.0
452,44337.0
453,44338.0
454,44339.0
455,44343.0
456,44345.0
457,44346.0
458,44347.0
459,44347.0
460,44347.0
461,44349.0
462,45518.0
463,45518.0
464,45518.0
465,45518.0
466,45519.0
467,45519.0
468,45520.0
469,45533.0
470,45534.0
471,45534.0
472,45534.0
473,45534.0
474,45535.0
475,45536.0
476,45536.0
477,45536.0
478,45536.0
479,45536.0
480,45538.0
481,45539.0
482,47686.0
483,47689.0
484,47703.0
485,48282.0
486,49895.0
487,49895.0
488,49895.0
489,49895.0
490,49896.0
491,52051.0
