t,yt
0,0
1,0
2,1.322265625
3,1156.979492
4,28218.30566
5,58484.21582
6,85846.87109
7,112793.5518
8,139414.9922
9,168818.2324
10,199292.6738
11,230188.8809
12,263312.0664
13,296551.1445
14,331287.9756
15,363818.3311
16,397254.0596
17,431486.4482
18,463356.3057
19,495610.0781
20,529015.8828
21,558426.1914
22,589033.9453
23,619788.0986
24,649417.0215
25,676526.5391
26,704976.6162
27,722507.9219
28,722511.4004
29,722512.1133
30,722512.1133
31,722512.6973
32,722516.1006
33,0
34,0
35,0
36,0.6640625
37,2.016601563
38,2.776367188
39,2.776367188
40,3.174804688
41,3.508789063
42,3.637695313
43,3.837890625
44,3.90234375
45,3.90234375
46,3.90234375
47,3.90234375
48,3.966796875
49,8.0078125
50,8.262695313
51,1338.458008
52,4.287109375
53,8.548828125
54,8.548828125
55,8.548828125
56,8.548828125
57,8.548828125
58,8.838867188
59,8.838867188
60,8.893554688
61,9.314453125
62,9.314453125
63,9.314453125
64,9.537109375
65,11.66601563
66,21.13183594
67,27.17382813
68,28.7421875
69,29.1171875
70,29.70117188
71,30.12109375
72,30.12109375
73,30.12109375
74,30.17578125
75,34.28808594
76,34.34277344
77,34.76464844
78,34.76464844
79,34.76464844
80,34.76464844
81,35.18554688
82,35.32128906
83,35.54003906
84,35.54003906
85,35.54003906
86,35.54003906
87,35.78125
88,35.78125
89,35.78125
90,36.15917969
91,36.63378906
92,36.63378906
93,36.69824219
94,36.75292969
95,36.88183594
96,36.88183594
97,36.88183594
98,36.88183594
99,36.88183594
100,37.30273438
101,37.30273438
102,37.30273438
103,37.35742188
104,37.35742188
105,37.35742188
106,51.07421875
107,61.36035156
108,66.05664063
109,67.4453125
110,68.57910156
111,69.29296875
112,77.17773438
113,77.17773438
114,77.17773438
115,77.23242188
116,77.23242188
117,77.23242188
118,77.98828125
119,77.98828125
120,78.40820313
121,78.40820313
122,78.40820313
123,78.54394531
124,78.54394531
125,0
126,0
127,0.21875
128,0.21875
129,0.21875
130,0.2734375
131,0.337890625
132,0
133,0.326171875
134,0
135,0
136,0.0546875
137,0.4453125
138,0.4453125
139,0.509765625
140,1.74609375
141,8.380859375
142,14.5859375
143,14.5859375
144,14.5859375
145,22.85058594
146,36.24804688
147,40.609375
148,179.3251953
149,644.203125
150,139713.7207
151,139725.21
152,139725.4326
153,139725.876
154,139726.043
155,139726.291
156,139727.3955
157,139727.5078
158,139727.5078
159,139727.5078
160,139730.3418
161,139731.0869
162,139741.7803
163,139741.7803
164,139741.7803
165,139741.7803
166,139741.7803
167,139741.7803
168,139741.7803
169,139741.7803
170,139741.7803
171,139741.999
172,139741.999
173,139742.333
174,139742.333
175,139742.5547
176,139742.5547
177,139742.6641
178,139742.6641
179,139742.998
180,139747.2529
181,139764.7773
182,139764.7773
183,139764.8867
184,139764.9512
185,139764.9512
186,139764.9512
187,139764.9512
188,139764.9512
189,139764.9512
190,139764.9512
191,139764.9512
192,139765.5273
193,139765.5273
194,139765.5273
195,139765.5273
196,139765.5273
197,139765.75
198,139765.8047
199,139765.9336
200,139765.998
201,139766.0625
202,139766.0625
203,139766.0625
204,139766.0625
205,139766.2393
206,139766.2393
207,139779.3447
208,139779.8066
209,139784.1963
210,139788.8652
211,139788.8652
212,139788.9199
213,139788.9746
214,139765.6016
215,139765.6016
216,0
217,0
218,0.0546875
219,0.8046875
220,35.95117188
221,43.9921875
222,0
223,3.580078125
224,4.184570313
225,11.96386719
226,12.08300781
227,12.08300781
228,13.38769531
229,20.46777344
230,24.75195313
231,26.08886719
232,26.28613281
233,47.88574219
234,48.69921875
235,52.29003906
236,754.0507813
237,771.3632813
238,774.8154297
239,778.0810547
240,781.5498047
241,793.4248047
242,794.8154297
243,796.1308594
244,796.1308594
245,796.1308594
246,796.1308594
247,796.1308594
248,796.4921875
249,798.296875
250,798.296875
251,798.296875
252,798.296875
253,798.4091797
254,798.4091797
255,798.4091797
256,798.4638672
257,858.5810547
258,858.8261719
259,859.0234375
260,859.421875
261,859.421875
262,859.421875
263,859.53125
264,901.9150391
265,901.9697266
266,901.9697266
267,901.9697266
268,906.0283203
269,906.0283203
270,937.3085938
271,937.3632813
272,937.5429688
273,937.6552734
274,937.6552734
275,937.6552734
