t,yt
0,0.0
1,0.0
2,1.5712890625
3,7.109375
4,18.1796875
5,19.9580078125
6,20.6708984375
7,20.7255859375
8,22.4228515625
9,22.5478515625
10,22.998046875
11,23.29296875
12,23.587890625
13,23.62890625
14,23.669921875
15,24.8984375
16,25.2265625
17,40.8935546875
18,47.1015625
19,50.5576171875
20,54.578125
21,56.162109375
22,57.5693359375
23,58.755859375
24,83.044921875
25,92.9677734375
26,109.92578125
27,128.8818359375
28,158.69140625
29,167.5966796875
30,176.484375
31,185.5830078125
32,194.0986328125
33,205.0869140625
34,226.578125
35,238.7705078125
36,248.6064453125
37,258.1513671875
38,267.9384765625
39,276.4296875
40,284.958984375
41,293.6669921875
42,302.103515625
43,310.9296875
44,320.193359375
45,329.9013671875
46,338.421875
47,347.625
48,356.2138671875
49,364.5693359375
50,384.9033203125
51,401.5849609375
52,422.9453125
53,440.1259765625
54,459.2177734375
55,477.7265625
56,496.7998046875
57,518.2744140625
58,539.224609375
59,560.2353515625
60,581.095703125
61,602.5224609375
62,623.8505859375
63,644.3115234375
64,666.32421875
65,687.7841796875
66,709.4736328125
67,733.7880859375
68,761.5361328125
69,786.0380859375
70,810.9755859375
71,834.5546875
72,857.283203125
73,880.4365234375
74,903.2998046875
75,928.33203125
76,953.302734375
77,976.6611328125
78,1000.494140625
79,1023.5791015625
80,1047.8408203125
81,1072.708984375
82,1095.8671875
83,1120.0400390625
84,1144.7861328125
85,1169.03515625
86,1192.4697265625
87,1217.892578125
88,1243.6240234375
89,1267.5380859375
90,1292.17578125
91,1315.591796875
92,1339.251953125
93,1362.841796875
94,1387.64453125
95,1413.8701171875
96,1441.8955078125
97,1469.7451171875
98,1497.373046875
99,1526.3447265625
100,1555.9033203125
101,1585.3681640625
102,1616.1806640625
103,1646.693359375
104,1677.0234375
105,1706.7744140625
106,1737.6826171875
107,1772.2822265625
108,1801.23046875
109,1832.3486328125
110,1860.27734375
111,1894.677734375
112,1930.0556640625
113,1960.9130859375
114,1994.681640625
115,2029.630859375
116,2063.916015625
117,2097.802734375
118,2132.80078125
119,2166.3603515625
120,2197.59375
121,2230.8955078125
122,2269.537109375
123,2302.49609375
124,2333.0791015625
125,2364.720703125
126,2403.810546875
127,2443.62109375
128,2480.509765625
129,2517.0869140625
130,2552.1201171875
131,2587.689453125
132,2621.5341796875
133,2656.388671875
134,2690.19140625
135,2728.8134765625
136,2771.095703125
137,2812.509765625
138,2852.8662109375
139,2892.3349609375
140,2927.9931640625
141,3093.3759765625
142,3167.1640625
143,3206.2646484375
144,3239.595703125
145,3285.1474609375
146,3319.6572265625
147,3355.3486328125
148,3394.0126953125
149,3433.6328125
150,3466.015625
151,3499.9072265625
152,3535.0673828125
153,3569.3369140625
154,3599.9697265625
155,3632.0380859375
156,3667.0205078125
157,3702.7734375
158,3735.8603515625
159,3769.1630859375
160,3802.0390625
161,3837.857421875
162,3875.494140625
163,3906.17578125
164,3938.62109375
165,3973.19921875
166,4008.9736328125
167,4044.1552734375
168,4079.388671875
169,4112.17578125
170,4150.439453125
171,4183.9208984375
172,4217.6845703125
173,4405.7705078125
174,4441.146484375
175,4474.6591796875
176,4513.2880859375
177,4554.263671875
178,4588.77734375
179,4619.47265625
180,4652.10546875
181,4682.615234375
182,4713.5771484375
183,4743.443359375
184,4773.1533203125
185,4803.611328125
186,4837.330078125
187,4875.044921875
188,4909.2841796875
189,4940.833984375
190,4974.30859375
191,5004.8671875
192,5037.142578125
193,5070.603515625
194,5106.0556640625
195,5143.9775390625
196,5178.5380859375
197,5213.9794921875
198,5245.623046875
199,5281.4482421875
200,5314.4775390625
201,5348.2490234375
202,5384.4189453125
203,5421.72265625
204,5457.521484375
205,5496.0498046875
206,5527.5625
207,5557.947265625
208,5590.818359375
209,5630.5146484375
210,5665.7216796875
211,5700.5703125
212,5735.376953125
213,5772.6552734375
214,5805.822265625
215,5836.4658203125
216,5867.5322265625
217,5898.001953125
218,5929.900390625
219,5963.0322265625
220,5995.6787109375
221,6025.94140625
222,6054.7001953125
223,6087.548828125
224,6121.3818359375
225,6156.07421875
226,6193.7509765625
227,6239.236328125
228,6270.310546875
229,6304.4443359375
230,6338.0205078125
231,6371.3095703125
232,6402.779296875
233,6433.783203125
234,6465.634765625
235,6497.8876953125
236,6535.4326171875
237,6570.7294921875
238,6602.9892578125
239,6633.609375
240,6665.8408203125
241,6699.0458984375
242,6731.291015625
243,6766.9501953125
244,6801.0673828125
245,6836.80859375
246,6871.404296875
247,6907.146484375
248,6939.5791015625
249,6977.2275390625
250,7010.818359375
251,7045.5986328125
252,7081.845703125
253,7119.43359375
254,7160.5712890625
255,7199.8837890625
256,7232.958984375
257,7271.24609375
258,7304.1015625
259,7338.9970703125
260,7374.9931640625
261,7412.314453125
262,7447.8125
263,7483.701171875
264,7517.90234375
265,7551.1767578125
266,7587.314453125
267,7629.84765625
268,7669.8857421875
269,7705.119140625
270,7739.365234375
271,7773.1552734375
272,7807.263671875
273,7841.1806640625
274,7871.880859375
275,7902.0546875
276,7935.00390625
277,7963.7822265625
278,7993.7255859375
279,8021.4306640625
280,8048.890625
281,8077.02734375
282,8108.6474609375
283,8140.728515625
284,8172.4345703125
285,8206.5048828125
286,8245.6748046875
287,8289.1943359375
288,8325.89453125
289,8358.6865234375
290,8391.8837890625
291,8421.9072265625
292,8450.6337890625
293,8479.5263671875
294,8509.689453125
295,8540.5498046875
296,8572.423828125
297,8605.5078125
298,8635.4736328125
299,8664.2021484375
300,8694.064453125
301,8728.412109375
302,8762.1953125
303,8797.7021484375
304,8831.888671875
305,8864.0126953125
306,8899.37109375
307,8937.76953125
308,8965.7685546875
309,8997.5205078125
310,9026.234375
311,9053.4443359375
312,9081.908203125
313,9114.4619140625
314,9145.55859375
315,9177.73828125
316,9210.810546875
317,9244.3349609375
318,9282.0908203125
319,9320.123046875
320,9359.6474609375
321,9398.2373046875
322,9433.810546875
323,9467.5234375
324,9503.8798828125
325,9536.857421875
326,9568.2216796875
327,9596.326171875
328,9621.7822265625
329,9654.4716796875
330,9696.5263671875
331,9725.212890625
332,9753.783203125
333,9782.609375
334,9810.6318359375
335,9836.3486328125
336,9866.3857421875
337,9898.986328125
338,9932.048828125
339,9971.5888671875
340,10010.0263671875
341,10052.8447265625
342,10092.5966796875
343,10136.0771484375
344,10178.787109375
345,10214.8037109375
346,10254.462890625
347,10292.669921875
348,10326.1318359375
349,10366.8720703125
350,10403.0908203125
351,10438.4296875
352,10470.53515625
353,10504.8525390625
354,10539.1953125
355,10572.83203125
356,10605.5068359375
357,10640.3642578125
358,10669.6650390625
359,10700.927734375
360,10733.7470703125
361,10769.8232421875
362,10805.25
363,10840.9970703125
364,10879.9140625
365,10918.26171875
366,10953.2470703125
367,10990.5654296875
368,11026.1298828125
369,11062.1005859375
370,11093.8701171875
