t,yt
0,0.0
1,0.0
2,0.0
3,7.0
4,7.0
5,8.0
6,10.0
7,10.0
8,11.0
9,11.0
10,895.0
11,7199.0
12,8499.0
13,8499.0
14,8500.0
15,8500.0
16,8500.0
17,8501.0
18,8509.0
19,8509.0
20,8509.0
21,8512.0
22,8512.0
23,8512.0
24,8513.0
25,8513.0
26,8513.0
27,8513.0
28,8513.0
29,8513.0
30,8513.0
31,8513.0
32,8513.0
33,8513.0
34,8513.0
35,8513.0
36,8518.0
37,8522.0
38,8524.0
39,8526.0
40,8528.0
41,8528.0
42,8530.0
43,8530.0
44,8540.0
45,8541.0
46,8541.0
47,8542.0
48,8542.0
49,8544.0
50,8544.0
51,8545.0
52,8545.0
53,8546.0
54,8547.0
55,8547.0
56,8549.0
57,8549.0
58,8549.0
59,8549.0
60,8549.0
61,8549.0
62,8549.0
63,8549.0
64,8549.0
65,8550.0
66,8550.0
67,8550.0
68,8550.0
69,8552.0
70,8552.0
71,8552.0
72,8552.0
73,8552.0
74,8553.0
75,8553.0
76,8555.0
77,8556.0
78,8556.0
79,8556.0
80,8556.0
81,8556.0
82,8556.0
83,8557.0
84,8557.0
85,8557.0
86,8565.0
87,8565.0
88,8565.0
89,8565.0
90,8565.0
91,8565.0
92,8565.0
93,8566.0
94,8566.0
95,8566.0
96,8567.0
97,8567.0
98,8568.0
99,8569.0
100,8569.0
101,8569.0
102,8569.0
103,8569.0
104,8569.0
105,8570.0
106,8572.0
107,8572.0
108,8572.0
109,8572.0
110,8572.0
111,8572.0
112,8572.0
113,8572.0
114,8572.0
115,8572.0
116,8572.0
117,8574.0
118,8574.0
119,8575.0
120,8575.0
121,8575.0
122,8575.0
123,8575.0
124,8575.0
125,8575.0
126,8582.0
127,8582.0
128,8586.0
129,8591.0
130,8593.0
131,8595.0
132,8597.0
133,8597.0
134,8599.0
135,8599.0
136,8599.0
137,8599.0
138,8600.0
139,8600.0
140,8600.0
141,8602.0
142,8602.0
143,8602.0
144,8602.0
145,8602.0
146,8602.0
147,8602.0
148,8602.0
149,8602.0
150,8602.0
151,8602.0
152,8602.0
153,8602.0
154,8602.0
155,8602.0
156,8604.0
157,8604.0
158,8604.0
159,8604.0
160,8604.0
161,8605.0
162,8605.0
163,8605.0
164,8606.0
165,8606.0
166,8606.0
167,8606.0
168,8608.0
169,8608.0
170,8608.0
171,8608.0
172,8608.0
173,8608.0
174,8608.0
175,8608.0
176,8608.0
177,8608.0
178,8608.0
179,8608.0
180,8608.0
181,8608.0
182,8608.0
183,8609.0
184,8609.0
185,8609.0
186,8609.0
187,8609.0
188,8609.0
189,8957.0
190,18566.0
191,18758.0
192,18758.0
193,18758.0
194,18758.0
195,18758.0
196,18758.0
197,18758.0
198,18758.0
199,18758.0
