t,yt
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,35.0
10,269.0
11,425.0
12,586.0
13,592.0
14,594.0
15,686.0
16,740.0
17,740.0
18,740.0
19,740.0
20,740.0
21,744.0
22,744.0
23,744.0
24,744.0
25,744.0
26,745.0
27,745.0
28,745.0
29,745.0
30,746.0
31,746.0
32,747.0
33,763.0
34,765.0
35,765.0
36,765.0
37,765.0
38,765.0
39,765.0
40,766.0
41,766.0
42,766.0
43,766.0
44,766.0
45,768.0
46,768.0
47,769.0
48,840.0
49,843.0
50,844.0
51,844.0
52,844.0
53,887.0
54,926.0
55,926.0
56,927.0
57,927.0
58,927.0
59,931.0
60,931.0
61,931.0
62,931.0
63,931.0
64,931.0
65,931.0
66,931.0
67,931.0
68,932.0
69,934.0
70,934.0
71,934.0
72,935.0
73,935.0
74,940.0
75,942.0
76,942.0
77,946.0
78,1016.0
79,1407.0
80,1407.0
81,1409.0
82,1410.0
83,1432.0
84,1435.0
85,1435.0
86,1435.0
87,1435.0
88,1435.0
89,1436.0
90,1436.0
91,1436.0
92,1443.0
93,1473.0
94,1545.0
95,1666.0
96,1686.0
97,1688.0
98,1713.0
99,1759.0
100,1917.0
101,1919.0
102,1942.0
103,2042.0
104,2558.0
105,2792.0
106,2813.0
107,2822.0
108,2836.0
109,2836.0
110,2837.0
111,2837.0
112,2837.0
113,2837.0
114,2837.0
115,2837.0
116,2840.0
117,2840.0
118,2840.0
119,2841.0
