t,yt
0,0.0
1,0.0
2,4.0
3,4.0
4,5.0
5,2291.0
6,4583.0
7,4583.0
8,4583.0
9,9218.0
10,9218.0
11,13838.0
12,13838.0
13,18438.0
14,18815.0
15,21010.0
16,23460.0
17,0.0
18,4611.0
19,4612.0
20,0.0
21,2880.0
22,4605.0
23,4605.0
24,9233.0
25,9235.0
26,9235.0
27,12738.0
28,12739.0
29,17628.0
30,17628.0
31,17628.0
32,17628.0
33,17628.0
34,17628.0
35,17628.0
36,17628.0
37,17628.0
38,22256.0
39,22256.0
40,9183.0
41,9183.0
42,13782.0
43,13782.0
44,13783.0
45,14383.0
46,17351.0
47,17351.0
48,18722.0
49,18728.0
50,18757.0
51,19294.0
52,15497.0
53,17598.0
54,17835.0
55,17980.0
56,17980.0
57,17981.0
58,17981.0
59,20080.0
60,20080.0
61,20083.0
62,20083.0
63,20088.0
64,20543.0
65,20545.0
66,20548.0
67,20550.0
68,20550.0
69,20552.0
70,20553.0
71,20553.0
72,22700.0
73,22700.0
74,23237.0
75,23268.0
76,23467.0
77,23473.0
78,23825.0
79,23980.0
80,24148.0
81,24148.0
82,24148.0
83,24148.0
84,26247.0
85,26247.0
86,26247.0
87,26292.0
88,26292.0
89,26687.0
90,26848.0
91,0.0
92,0.0
93,0.0
94,1.0
95,2.0
96,2.0
97,2113.0
98,2113.0
99,2113.0
100,2113.0
101,2114.0
102,2114.0
103,2116.0
104,2654.0
105,2654.0
106,2654.0
107,2654.0
108,2655.0
109,2655.0
110,4760.0
111,4760.0
112,4760.0
113,4760.0
114,4760.0
115,4760.0
116,4760.0
117,4760.0
118,4760.0
119,4762.0
120,5332.0
121,5333.0
122,7437.0
123,7437.0
124,7437.0
125,7437.0
126,7437.0
127,7437.0
128,7437.0
129,7437.0
130,7437.0
131,7437.0
132,7437.0
133,7437.0
134,10123.0
135,10129.0
136,10133.0
137,10133.0
138,4585.0
139,4587.0
140,4589.0
141,4589.0
142,4589.0
143,4589.0
144,4590.0
145,4590.0
146,4590.0
