t,yt
0,0.0
1,0.0
2,0.0
3,0.0
4,145.0
5,208.0
6,210.0
7,1959.0
8,1959.0
9,1959.0
10,1959.0
11,1959.0
12,1959.0
13,1959.0
14,1959.0
15,1959.0
16,1959.0
17,1960.0
18,3471.0
19,3471.0
20,3471.0
21,3473.0
22,3473.0
23,3473.0
24,3473.0
25,3474.0
26,3474.0
27,6203.0
28,6203.0
29,6204.0
30,6204.0
31,6204.0
32,6204.0
33,6205.0
34,6205.0
35,6205.0
36,6207.0
37,7748.0
38,7751.0
39,7751.0
40,7751.0
41,7887.0
42,14878.0
43,17917.0
44,28573.0
45,33900.0
46,42471.0
47,53285.0
48,64456.0
49,75829.0
50,87694.0
51,93255.0
52,93255.0
53,93255.0
54,93255.0
55,93255.0
56,93255.0
57,93255.0
58,93255.0
59,93255.0
60,93255.0
61,93255.0
62,93255.0
63,93255.0
64,93255.0
65,93255.0
66,93255.0
67,93255.0
68,93255.0
69,93255.0
70,93256.0
71,93256.0
72,93256.0
73,93256.0
74,93256.0
75,94771.0
76,94771.0
77,96117.0
78,96117.0
79,96117.0
80,98099.0
81,98099.0
82,98099.0
83,98099.0
84,98099.0
85,98099.0
86,98099.0
87,100251.0
88,100253.0
89,100253.0
90,100253.0
91,102405.0
92,102405.0
93,102405.0
94,104485.0
95,104485.0
96,104485.0
97,104485.0
98,104485.0
99,104954.0
100,106358.0
101,106359.0
102,106359.0
103,106359.0
104,106359.0
105,106359.0
106,106359.0
107,108096.0
108,108697.0
109,108697.0
110,108697.0
111,108697.0
112,108700.0
113,108700.0
114,108700.0
115,110479.0
116,110479.0
117,110479.0
118,110479.0
119,110479.0
120,110479.0
121,110479.0
122,110479.0
123,110479.0
124,110479.0
125,112325.0
126,112326.0
127,112326.0
128,112326.0
129,112326.0
130,112326.0
131,112326.0
132,112326.0
133,112326.0
134,112326.0
135,114656.0
136,114656.0
137,114656.0
138,114657.0
139,114657.0
140,114657.0
141,114657.0
142,114657.0
143,114657.0
144,114657.0
145,114657.0
146,114657.0
147,114657.0
148,114657.0
149,114657.0
150,116363.0
151,116363.0
152,116363.0
153,116363.0
154,116363.0
155,116363.0
156,116364.0
157,116364.0
158,116365.0
159,116365.0
160,116365.0
161,116365.0
162,116365.0
163,117028.0
164,117967.0
165,117968.0
166,117968.0
167,117968.0
168,117968.0
169,117968.0
170,117969.0
171,117969.0
172,118107.0
173,120584.0
174,120584.0
175,120584.0
176,120584.0
177,120584.0
178,120585.0
179,120585.0
180,120585.0
181,120585.0
182,120585.0
183,120586.0
184,120587.0
185,120587.0
186,120591.0
187,121334.0
188,121430.0
189,122866.0
190,122869.0
191,122869.0
192,122879.0
193,122879.0
194,122879.0
195,122879.0
196,122879.0
197,122879.0
198,122879.0
199,122879.0
200,122879.0
201,122879.0
202,122879.0
203,122880.0
204,124894.0
205,124894.0
206,124894.0
207,124894.0
208,124894.0
209,124894.0
210,124894.0
211,124894.0
212,124894.0
213,124894.0
214,124896.0
215,124896.0
216,124896.0
217,124896.0
218,124896.0
219,127142.0
220,127143.0
221,127143.0
222,127143.0
223,127143.0
224,127143.0
225,127143.0
226,127143.0
227,127143.0
228,127143.0
229,127143.0
230,127143.0
231,127143.0
232,127143.0
233,127143.0
234,129295.0
235,129295.0
236,129451.0
237,129451.0
238,129451.0
239,129451.0
240,129451.0
241,129451.0
242,129608.0
243,129608.0
244,129609.0
245,129609.0
246,129609.0
247,129609.0
248,129609.0
249,129609.0
250,129609.0
251,129609.0
252,129609.0
253,129609.0
254,129609.0
255,129609.0
256,129609.0
257,129609.0
258,129609.0
259,129609.0
260,129609.0
261,129609.0
262,129609.0
263,129609.0
264,129609.0
265,132250.0
266,132250.0
267,132251.0
268,132251.0
269,132251.0
270,132251.0
271,132251.0
272,132251.0
273,132251.0
274,132251.0
275,132251.0
276,132251.0
277,132251.0
278,132252.0
279,132252.0
280,132256.0
281,132256.0
282,132256.0
283,132256.0
284,132256.0
285,132257.0
286,132257.0
287,132257.0
288,132257.0
289,132257.0
290,132257.0
291,132257.0
292,132257.0
293,132257.0
294,132257.0
295,134411.0
296,134411.0
297,134411.0
298,134411.0
299,136452.0
300,136566.0
301,136566.0
302,136566.0
303,137940.0
304,137940.0
305,139605.0
306,139605.0
307,141281.0
308,141281.0
309,141884.0
310,141884.0
311,141884.0
312,143550.0
313,145253.0
314,145253.0
315,146967.0
316,146967.0
317,146967.0
318,148691.0
319,148694.0
320,148696.0
321,150401.0
322,150401.0
323,152082.0
324,152082.0
325,152093.0
326,152097.0
327,153737.0
328,153737.0
329,153737.0
330,153738.0
331,153738.0
332,155886.0
333,155888.0
334,155889.0
335,155890.0
336,155890.0
337,157576.0
338,157576.0
339,157577.0
340,157577.0
341,157832.0
342,159288.0
343,159288.0
344,159288.0
345,159288.0
346,159288.0
347,160970.0
348,160970.0
349,160970.0
350,160970.0
351,160970.0
352,162676.0
353,162676.0
354,162676.0
355,162676.0
356,162676.0
357,164356.0
358,164356.0
359,164356.0
360,164356.0
361,164356.0
362,166655.0
363,166655.0
364,166655.0
365,166655.0
366,168361.0
367,168361.0
368,168361.0
369,168361.0
370,168361.0
371,168361.0
372,170076.0
373,170076.0
374,170076.0
375,170077.0
376,170077.0
377,171758.0
378,171758.0
379,171759.0
380,171759.0
381,171759.0
382,173380.0
383,173380.0
384,173380.0
385,173381.0
386,173381.0
387,175037.0
388,175040.0
389,175040.0
390,175042.0
391,175042.0
392,176752.0
393,176752.0
394,176754.0
395,176755.0
396,176755.0
397,178447.0
398,178447.0
399,178447.0
400,178447.0
401,178448.0
402,180642.0
403,180642.0
404,180642.0
405,180643.0
406,182332.0
407,182342.0
408,182342.0
409,182342.0
410,182342.0
411,182342.0
412,184018.0
413,184018.0
414,184018.0
415,184018.0
416,184664.0
417,185697.0
418,185697.0
419,185697.0
420,185697.0
421,187337.0
422,187337.0
423,187337.0
424,187337.0
425,187338.0
426,188815.0
427,188815.0
428,188815.0
429,188815.0
430,188815.0
431,190953.0
432,190953.0
433,190953.0
434,190953.0
435,192636.0
436,192636.0
437,192636.0
438,192636.0
439,192636.0
440,192636.0
441,194315.0
442,194315.0
443,194316.0
444,194316.0
445,194316.0
446,196107.0
447,196107.0
448,196107.0
449,196107.0
450,196107.0
451,196107.0
452,197776.0
453,197776.0
454,197776.0
455,197776.0
456,199192.0
457,199192.0
458,199192.0
459,199193.0
460,201335.0
461,201335.0
462,201335.0
463,201335.0
464,201335.0
465,203032.0
466,203032.0
467,203032.0
468,203032.0
469,203032.0
470,204742.0
471,204742.0
472,204742.0
473,204742.0
474,204743.0
475,206377.0
476,206377.0
477,206377.0
478,206377.0
479,206377.0
480,208066.0
481,208066.0
482,208066.0
483,208066.0
484,208067.0
485,209759.0
486,209759.0
487,209759.0
488,209759.0
489,209759.0
490,211929.0
